Province,District,MOH/QC/Camp,"Date of last positive
case","Cases from 4th
October 2020"
Northern,Jaffna,Vidathapillai QC,2/3/2021,33
Northern,Jaffna,COVID CENTER KOPAY,8/3/2021,15
Northern,Jaffna,SLAF QC-PALALI,12/5/2021,14
Northern,Jaffna,WELANKULAM QC,25/12/2020,3
Northern,Jaffna,QC DAMBAKOLAPATUNA,19/03/2021,17
Northern,Jaffna,KKS NAVY QC,25/01/2021,2
Northern,Jaffna,VASAWILAN QC PALALI,28/05/2021,128
Northern,Kilinochchi,Kandawalai,28/05/2021,53
Northern,Kilinochchi,Kilinochchi,31/05/2021,421
Northern,Kilinochchi,Palai,24/05/2021,20
Northern,Kilinochchi,Poonakary,24/05/2021,53
Northern,Kilinochchi,"NAVY QC
MULANKAVIL",7/4/2021,37
Northern,Kilinochchi,WELANKULAM QC,8/2/2021,8
Northern,Kilinochchi,"ELLA FARM,
KILINOCHCHI",12/3/2021,1
Northern,Kilinochchi,QC BHARATHIPURAM,17/04/2021,10
Northern,Kilinochchi,PALAI QC,13/04/2021,5
Northern,Kilinochchi,QC - Thirumurikandy,2/5/2021,1
Northern,Kilinochchi,QC ANNAIVILUNTHAN,22/05/2021,3
Northern,Mannar,Madhu,4/3/2021,4
Northern,Mannar,Mannar Town,31/05/2021,315
Northern,Mannar,Manthai West,31/03/2021,32
Northern,Mannar,Musalai,12/2/2021,25
Northern,Mannar,Nanattan,31/05/2021,33
Northern,Mannar,SL NAVY MANNAR QC,17/03/2021,2
Northern,Mullaitivu,Mallavi,23/05/2021,67
Northern,Mullaitivu,Mullaithivu,30/05/2021,69
Northern,Mullaitivu,Oddusudan,24/05/2021,14
Northern,Mullaitivu,Puthukkudiyiruppu,27/05/2021,183
Northern,Mullaitivu,Mullativu QC,23/05/2021,138
Northern,Mullaitivu,SLAF MULLAITIVU QC,1/5/2021,93
Northern,Mullaitivu,IRANAMADU QC,15/05/2021,42
Northern,Mullaitivu,QC PUTHUKUDIIRIPPU,10/5/2021,66
Northern,Mullaitivu,QC WELLAMULLAVAIKKAL,16/05/2021,81
Northern,Mullaitivu,"BTS 59 QC ARMY CAMP
MULLATIVU",26/05/2021,77
Northern,Mullaitivu,591 BRIGADE MULLATIVU,14/04/2021,5
Northern,Mullaitivu,68 INF DIV- BTS QC,17/05/2021,17
Northern,Mullaitivu,QC MURUKANDY,10/5/2021,38
Northern,Mullaitivu,QC 23 SLLI MULLIYAWELI,26/05/2021,39
Northern,Vavuniya,Cheddikulam,21/05/2021,25
Northern,Vavuniya,Vavuniya,28/05/2021,529
Northern,Vavuniya,Vavuniya North,24/05/2021,15
Northern,Vavuniya,Vavuniya South,30/05/2021,14
Northern,Vavuniya,Vavuniya QC,25/01/2021,12
Northern,Vavuniya,QC POWARASAKULAM,23/03/2021,46
Northern,Vavuniya,QC PERIYAKADU,15/05/2021,27
Northern,Vavuniya,SLAF QC VELANKULAM,25/04/2021,12
Northern,Vavuniya,QC POMPAIMADU,30/05/2021,64
Northern,Vavuniya,QC POONTHITTAM,19/05/2021,57
Northern,Vavuniya,QC BARATHIPURAM,21/04/2021,6
Eastern,Ampara,Ampara,29/05/2021,212
Eastern,Ampara,Damana,29/05/2021,83
Eastern,Ampara,Dehiyaththakandiya,31/05/2021,173
Eastern,Ampara,Lahugala,17/05/2021,10
Eastern,Ampara,Mahaoya,30/05/2021,27
Eastern,Ampara,Padiyathalawa,31/05/2021,71
Eastern,Ampara,Uhana,29/05/2021,96
Eastern,Batticaloa,Arayampathy,30/05/2021,31
Eastern,Batticaloa,Batticaloa,31/05/2021,253
Eastern,Batticaloa,Chenkalady,6/5/2021,30
Eastern,Batticaloa,Eravur,29/05/2021,74
Eastern,Batticaloa,Kaluwanchikudy,31/05/2021,54
Eastern,Batticaloa,Kattankudy,28/05/2021,175
Eastern,Batticaloa,Kiran,29/05/2021,32
Eastern,Batticaloa,Koralaipattu Central,31/05/2021,16
Eastern,Batticaloa,Oddamavadi,14/05/2021,53
Eastern,Batticaloa,Paddipalai,30/05/2021,12
Eastern,Batticaloa,Vakarai,3/5/2021,6
Eastern,Batticaloa,Valaichenai,31/05/2021,65
Eastern,Batticaloa,Vavunathivu,19/05/2021,5
Eastern,Batticaloa,Vellaveli,31/05/2021,9
Eastern,Batticaloa,"POLICE TRAINIG QC -
BATTICALO",24/01/2021,23
Eastern,Batticaloa,THALANKUDA QC BATTICALOA,10/5/2021,104
Eastern,Batticaloa,NURSING SCHOOL- BATICALOA,10/1/2021,3
Eastern,Batticaloa,QC KATTANKUDY,23/02/2021,1
Eastern,Batticaloa,NAVY QC KALLADY,9/3/2021,39
Eastern,Batticaloa,BRANDIX PUNANI,31/03/2021,15
Eastern,Kalmunai,Addachchenai,30/05/2021,100
Eastern,Kalmunai,Akkaraipattu,29/05/2021,380
Eastern,Kalmunai,Alayadivembu,25/05/2021,40
Eastern,Kalmunai,Irakkamam,30/03/2021,213
Eastern,Kalmunai,Kalmunai South (Muslim Div),23/05/2021,282
Eastern,Kalmunai,Kalmunai North (Tamil Div),25/05/2021,133
Eastern,Kalmunai,Karaithivu,11/5/2021,67
Eastern,Kalmunai,Navithanveli,29/05/2021,26
Eastern,Kalmunai,Ninthavur,19/05/2021,59
Eastern,Kalmunai,Pottuvil,30/05/2021,91
Eastern,Kalmunai,Sainthamaruthu,5/3/2021,83
Eastern,Kalmunai,Samanthurai,19/05/2021,60
Eastern,Kalmunai,Thirukkovil,5/5/2021,20
Eastern,Kalmunai,QC ADDALACHCHENAI,2/5/2021,23
Eastern,Kalmunai,QC -KALMUNAI,16/05/2021,14
Eastern,Kalmunai,OLIVIL QC – NAVY,26/05/2021,6
Eastern,Trincomalee,Eachchilampattu(Verugal),2/5/2021,2
Eastern,Trincomalee,Gomarankadawala,24/05/2021,21
Eastern,Trincomalee,Kanthale,29/05/2021,72
Eastern,Trincomalee,Kinniya,30/05/2021,164
Eastern,Trincomalee,Kuchchaveli,31/05/2021,65
Eastern,Trincomalee,Kurinchakkerny,31/05/2021,46
Eastern,Trincomalee,Muthur,30/05/2021,137
Eastern,Trincomalee,Padvi Sri Pura,30/05/2021,18
Eastern,Trincomalee,Seruvila,21/05/2021,12
Eastern,Trincomalee,Thampalakamam,30/05/2021,116
Eastern,Trincomalee,Trincomalee,30/05/2021,629
Eastern,Trincomalee,Uppuveli,29/05/2021,248
Eastern,Trincomalee,QC VIDURA CAMP,16/12/2020,3
Eastern,Trincomalee,POLICE QC UPPUVELI,10/1/2021,3
Eastern,Trincomalee,Sampoor Navy QC,22/03/2021,23
Eastern,Trincomalee,NAVY HOSPITAL TRINCOMALEE,30/03/2021,3
North Central,Anuradhapura,Galenbindunuwewa,31/05/2021,40
North Central,Anuradhapura,Galnewa,30/05/2021,21
North Central,Anuradhapura,Horowpothana,31/05/2021,35
North Central,Anuradhapura,Ipalogama,29/05/2021,41
North Central,Anuradhapura,Kahatagasdigiliya,29/05/2021,26
North Central,Anuradhapura,Kebithigollewa,29/05/2021,9
North Central,Anuradhapura,Kekirawa,31/05/2021,108
North Central,Anuradhapura,Mahawilachchiya,4/5/2021,20
